collection,number_of_movies,domestic_revenue,revnue,first_year,last_year,nu_of_years
Escape Plan,3,"$25,135,965","$121,121,471",2013,2019,6
Warlock,2,"$12,727,232","$12,727,232",1991,1993,2
Bloodsport,2,"$12,490,470","$12,490,470",1988,1996,8
Exterminator,2,"$8,739,406","$8,739,406",1980,1984,4
Baahubali,2,"$25,723,794","$290,239,579",2015,2017,2
The Marine,4,"$18,844,784","$22,165,608",2006,2015,9
Dungeons & Dragons,2,"$15,185,241","$34,681,787",2000,2005,5
Vacancy,2,"$19,063,007","$24,363,007",2007,2009,2
Wild Orchid,2,"$11,573,904","$11,573,904",1990,1992,2
Skyline,2,"$21,416,355","$68,882,159",2010,2017,7
Class of 1984,3,"$8,365,510","$8,365,510",1982,1994,12
Far From Home,2,"$11,392,788","$11,392,788",1989,1995,6
Leprechaun,4,"$10,750,531","$10,750,531",1993,2018,25
Pure Country,2,"$10,839,136","$10,839,136",1992,2010,18
Wrong Turn,6,"$15,417,771","$28,649,556",2003,2014,11
Waiting,2,"$16,124,543","$18,673,274",2005,2009,4
Wolf Creek,2,"$16,186,348","$29,170,393",2005,2014,9
American Girl,6,"$17,657,973","$17,657,973",2004,2015,11
Swan Princess,7,"$10,007,424","$10,115,138",1994,2018,24
Philadelphia Experiment,2,"$8,105,330","$8,105,330",1984,1993,9
No Manches Frida,2,"$20,799,533","$49,918,736",2016,2019,3
Les Boys,3,"$11,572,073","$11,572,073",1997,2001,4
Happily N'Ever After,2,"$15,849,032","$38,711,306",2007,2009,2
Shaun the Sheep,3,"$19,375,982","$133,937,710",2015,2019,4
See No Evil,2,"$15,032,800","$18,828,036",2006,2014,8
Arthur and the Minimoys,3,"$15,827,035","$198,502,059",2007,2015,8
Smoke,2,"$9,628,284","$15,128,284",1995,1995,
Undisputed,4,"$12,398,628","$12,402,560",2002,2017,15
My Hero Academia,2,"$18,981,417","$57,393,941",2018,2019,1
Belly,2,"$9,639,390","$9,639,390",1998,2008,10
Norm of the North,3,"$17,062,499","$31,627,211",2016,2020,4
The Man With The Iron Fists,2,"$15,634,090","$22,018,988",2012,2015,3
Best of the Best,2,"$7,744,652","$7,744,652",1989,1993,4
The Collector,2,"$14,522,868","$19,363,930",2009,2012,3
Molly Hartley,2,"$13,442,412","$15,318,257",2008,2015,7
Tom yum goong,2,"$12,046,550","$45,131,324",2006,2013,7
What the Bleep,2,"$11,077,507","$11,077,507",2004,2006,2
Phantasm,5,"$7,282,851","$7,282,851",1979,2016,37
Trois Couleurs,3,"$6,831,974","$6,845,215",1993,1994,1
12 Rounds,3,"$12,234,694","$17,306,648",2009,2015,6
My Little Pony,4,"$5,958,456","$6,502,751",1986,2015,29
Bratz,5,"$10,010,209","$25,747,223",2006,2008,2
Dhoom,3,"$10,921,297","$51,639,703",2004,2013,9
Buena Vista Social Club,2,"$7,121,065","$20,152,673",1999,2017,18
Boondock Saints,2,"$10,303,658","$11,041,194",2000,2009,9
Jean de Florette,2,"$5,504,613","$5,504,613",1987,1987,
City of God,2,"$7,870,473","$34,665,848",2003,2008,5
Trailer Park Boys,3,"$8,936,791","$8,944,680",2006,2014,8
Atlas Shrugged,3,"$8,940,096","$8,940,096",2011,2014,3
The Condemned,2,"$7,371,706","$7,371,706",2007,2015,8
Fire Earth Water,3,"$6,559,649","$12,353,078",1997,2006,9
Work and the Glory,3,"$6,697,771","$6,697,771",2004,2006,2
"Stepfather, The",2,"$4,008,536","$4,008,536",1987,1989,2
Ladron que roba a ladron,2,"$7,074,759","$8,777,680",2007,2015,8
Belle de Jour,2,"$4,067,177","$4,079,204",1968,2007,39
Cities of Love,3,"$6,445,461","$15,016,262",2007,2019,12
Serbuan maut,2,"$6,730,926","$11,923,210",2012,2014,2
Ip Man,6,"$7,088,481","$441,575,053",2010,2019,9
Left Behind,1,"$4,221,341","$4,221,341",2001,2001,
The Snowman,2,"$6,670,765","$43,254,979",2017,2018,1
The Trip,3,"$6,062,324","$11,421,886",2011,2017,6
Ong-Bak,3,"$4,680,515","$31,660,905",2005,2011,6
Goal,3,"$4,508,322","$31,869,940",2006,2008,2
In The Name of the King,3,"$4,775,656","$13,233,220",2008,2014,6
Elvis Gratton,1,"$3,316,272","$3,316,272",1999,1999,
"No Retreat, No Surrender",2,"$2,381,199","$2,381,199",1986,1989,3
State Property,2,"$3,791,425","$3,791,425",2002,2005,3
Nitro,2,"$3,768,878","$3,768,878",2007,2016,9
Dabangg,3,"$4,298,223","$102,737,123",2010,2019,9
3 Hommes,2,"$1,973,605","$1,973,605",1986,2003,17
Endless Summer,1,"$2,155,385","$2,155,385",1994,1994,
Goon,2,"$4,164,911","$7,134,300",2012,2017,5
Cruising Bar,1,"$3,579,013","$3,579,013",2008,2008,
Aries Films,1,"$2,000,022","$2,000,022",1992,1992,
8 Films to Die For,2,"$3,185,315","$3,185,315",2006,2007,1
Asterix,4,"$2,643,871","$195,323,996",1996,2012,16
Nueba Yol,2,"$2,022,827","$2,022,827",1996,1997,1
Poison Ivy,2,"$1,829,804","$1,829,804",1992,2009,17
DC Animated Movie Universe,39,"$3,775,000","$4,428,007",2007,2020,13
Tanu Weds Manu,2,"$3,283,499","$12,169,332",2011,2015,4
Laura Cadieux,2,"$1,823,384","$1,823,384",1998,1999,1
Babar,2,"$1,532,561","$1,532,561",1989,1999,10
Trois,2,"$2,043,793","$2,043,793",2000,2002,2
BloodRayne,2,"$2,405,420","$3,711,633",2006,2011,5
Penitentiary,2,"$949,896","$949,896",1980,1982,2
Koi Mil Gaya,2,"$2,111,700","$34,183,129",2003,2006,3
Dhamaal,3,"$2,877,617","$37,689,451",2007,2019,12
Henry Fool,2,"$1,461,500","$1,461,500",1998,2007,9
Night Watch,2,"$1,961,283","$72,784,452",2006,2007,1
Baaghi,3,"$2,479,225","$34,417,124",2016,2020,4
Detective Chinatown,3,"$2,443,816","$665,904,465",2015,2020,5
Ghost in the Shell,2,"$1,487,475","$1,487,475",1996,2004,8
Dans une galaxie pres de chez vous,1,"$1,883,999","$1,883,999",2008,2008,
USA - Land of Opportunities,3,"$1,604,591","$15,394,960",2004,2009,5
Donnie Darko,2,"$1,480,006","$8,549,114",2001,2009,8
7 Up,4,"$1,727,415","$1,727,415",1999,2019,20
Shiloh,2,"$1,035,175","$1,035,175",1997,1999,2
The True North Trilogy,2,"$1,821,983","$1,910,512",2014,2016,2
Saints and Soldiers,2,"$1,310,470","$1,310,470",2004,2014,10
Singham,2,"$1,577,445","$30,050,894",2011,2014,3
Banlieue 13,2,"$1,236,352","$20,386,278",2006,2010,4
Jolly LLB,2,"$1,654,254","$31,262,936",2013,2017,4
Restrepo,2,"$1,432,204","$1,531,913",2010,2014,4
Visiteurs,2,"$805,072","$124,900,072",1996,1998,2
Ren zai jiong tu Tai jiong,2,"$1,302,281","$442,673,381",2012,2015,3
Boys Life,3,"$738,494","$738,494",1997,2003,6
Vengeance Trilogy,3,"$964,301","$29,743,500",2003,2006,3
Superfly,1,"$610,402","$610,402",1990,1990,
Sarkar,1,"$1,009,065","$17,722,998",2008,2008,
Epic Stories of the Bible,1,"$952,820","$1,051,907",2007,2007,
Nymphomaniac,2,"$1,113,063","$2,742,936",2014,2014,
Taxi,5,"$729,844","$103,552,731",1998,2018,20
ABCD,2,"$1,114,231","$11,341,415",2013,2015,2
Cremaster,2,"$665,861","$682,654",2003,2004,1
Generation Iron,2,"$849,521","$901,649",2013,2017,4
Cube,1,"$489,220","$8,969,065",1998,1998,
Cage aux Folles,2,"$363,989","$363,989",1979,1986,7
Journey to the West,2,"$898,404","$456,733,131",2013,2017,4
Detective Dee,3,"$825,500","$187,067,303",2011,2018,7
The Spanish Apartment,3,"$712,899","$32,075,112",2006,2014,8
Ex Files,2,"$837,791","$344,271,614",2015,2017,2
Student of the Year,1,"$778,566","$1,057,980",2019,2019,
Red Cliff,2,"$627,047","$150,127,047",2009,2009,
The Monkey King,1,"$709,982","$194,058,503",2016,2016,
Zhuo yao ji (Monster Hunt),2,"$738,919","$720,979,406",2015,2018,3
The Act of Killing,2,"$596,008","$1,564,647",2013,2015,2
Ai Weiwei,2,"$546,396","$865,078",2012,2014,2
Cold War,2,"$560,824","$149,778,639",2012,2016,4
Bhoothnath,2,"$449,776","$11,532,795",2008,2014,6
On Any Sunday,1,"$509,916","$509,916",2014,2014,
Attack on Titan,3,"$502,150","$45,369,926",2014,2015,1
SLC Punk,2,"$299,200","$299,200",1999,2016,17
Seven Up!,1,"$300,680","$300,680",1999,1999,
Swamp Thing,2,"$192,816","$274,928",1982,1989,7
Apu Trilogy,3,"$402,723","$402,723",1956,1959,3
Golmaal,1,"$313,102","$313,102",2008,2008,
The Human Centipede,3,"$337,906","$513,014",2010,2015,5
OSS 117,1,"$303,328","$23,726,439",2008,2008,
The Red Riding Trilogy,3,"$300,470","$300,470",2010,2010,
Hatchet,4,"$237,281","$302,396",2007,2017,10
In Search of,2,"$225,000","$720,945",2006,2009,3
Herb and Dorothy,2,"$233,654","$233,654",2009,2013,4
Tai Chi Zero,2,"$242,924","$44,806,595",2012,2013,1
Monsters,2,"$237,301","$5,692,480",2010,2015,5
Eating Out,2,"$192,284","$192,284",2005,2006,1
Evangelion,3,"$241,437","$66,296,028",2009,2012,3
Seasons Quartet,1,"$198,791","$198,791",2014,2014,
Snabba Cash,2,"$188,870","$10,212,403",2012,2014,2
Malevolence,3,"$150,421","$370,506",2004,2018,14
B?lgen,2,"$183,639","$5,786,712",2015,2018,3
Appurushido,2,"$129,135","$141,928",2005,2008,3
Somm,2,"$153,620","$153,620",2013,2016,3
On the Run,2,"$103,569","$303,715",2004,2004,
Munde U.K. De,1,"$135,000","$135,000",2014,2014,
V/H/S,3,"$124,934","$2,007,143",2012,2014,2
Fukrey,2,"$124,221","$16,225,986",2013,2017,4
Cowgirls n' Angels,2,"$119,782","$119,782",2012,2014,2
Another Gay Movie,1,"$104,828","$104,828",2008,2008,
Infernal Affairs,3,"$89,594","$89,594",2004,2007,3
America the Beautiful,3,"$88,539","$88,539",2008,2015,7
I Spit on Your Grave,3,"$93,861","$1,503,604",2010,2015,5
Evil Bong,1,"$91,260","$91,260",2011,2011,
Detective K,1,"$104,012","$18,708,399",2018,2018,
Dod sno,2,"$79,359","$2,226,637",2009,2014,5
Feast,3,"$56,131","$690,872",2006,2009,3
Hak Se Wui,1,"$55,758","$55,758",2007,2007,
Three Mothers,1,"$54,947","$54,947",2008,2008,
Tiger & Bunny,2,"$61,562","$61,562",2014,2019,5
San Francisco Opera Cinemacasts 2007,4,"$49,088","$49,088",2008,2008,
Outrage,2,"$48,623","$15,279,572",2011,2012,1
[REC],4,"$38,203","$49,376,081",2007,2015,8
The Inbetweeners,2,"$35,955","$144,051,320",2012,2014,2
Stake Land,2,"$33,245","$714,234",2011,2017,6
Klovn,2,"$33,700","$7,027,221",2012,2015,3
Girls (China),2,"$37,115","$10,281,835",2014,2018,4
Gasland,2,"$30,846","$339,505",2010,2014,4
ABC's of Death,2,"$29,003","$42,307",2013,2014,1
As Mil e Uma Noites,3,"$23,160","$54,451",2015,2015,
Django,2,"$19,391","$19,391",1966,2020,54
St. Trinian's,2,"$15,000","$29,830,239",2009,2009,
The Wedding Party,2,"$11,140","$73,115",2017,2017,
"Tomorrow, When the War Began",1,"$4,936","$13,404,936",2012,2012,
Donald Strachey,2,"$4,269","$4,269",2008,2008,
Nuke 'Em High,1,"$4,790","$4,790",2014,2014,
Contracted,2,"$3,328","$287,928",2013,2015,2
Hayride,1,"$2,571","$2,571",2015,2015,
Barbie,32,$0,"$5,130,193",2002,2020,18
Air Buddies,9,$0,$0,2006,2013,7
Boonie Bears,8,$0,"$373,650,832",2015,2019,4
Tinker Bell,6,$0,"$175,997,380",2008,2014,6
Monster High,6,$0,$0,2012,2017,5
Strawberry Shortcake,5,$0,$0,2006,2010,4
Doraemon,5,$0,"$203,578,370",2007,2017,10
Sharknado,5,$0,$0,2013,2016,3
Mickey Mouse,5,$0,$0,2001,2008,7
RiffTrax Live,4,$0,$0,2013,2014,1
Futurama,4,$0,$0,2007,2009,2
Desu Noto,4,$0,"$110,130,306",2008,2016,8
Justice League,4,$0,$0,2015,2020,5
Sister Street Fighter,4,$0,$0,1974,1976,2
Basket Case,3,$0,$0,1982,1991,9
Nativity,3,$0,"$11,492,347",2010,2014,4
Thomas and Friends,3,$0,"$3,649,249",2012,2019,7
Descendants,3,$0,$0,2015,2019,4
Smetto Quando Voglio,3,$0,"$6,510,407",2016,2017,1
Crayon Shin Chan,3,$0,"$23,536,978",2006,2016,10
The Toxic Avenger,3,$0,$0,1986,1989,3
Sleepaway Camp,3,$0,$0,1983,2015,32
Belle et Sebastien,3,$0,"$50,001,801",2013,2018,5
Pororo,3,$0,"$8,847,201",2015,2017,2
Rogue Warfare,3,$0,$0,2019,2020,1
Bad Ass,3,$0,$0,2012,2015,3
Fack ju G?hte,3,$0,"$269,786,977",2013,2017,4
Police Story,3,$0,$0,1993,2015,22
Masked Rider,3,$0,"$13,353,789",2006,2008,2
Ivan Tsarevich i Seryy Volk,3,$0,"$42,039,975",2011,2019,8
Argento’s Animal Trilogy,3,$0,$0,1970,1972,2
Shopkins,3,$0,"$195,210",2016,2018,2
Santa Buddies,3,$0,$0,2009,2012,3
The Man From Macau,2,$0,"$230,773,224",2014,2015,1
I Am Vengeance,2,$0,$0,2018,2020,2
Crossword Mysteries,2,$0,$0,2019,2020,1
Always,2,$0,"$69,874,885",2007,2012,5
Wolfcop,2,$0,$0,2015,2017,2
Si da ming bu,2,$0,"$29,567,632",2012,2014,2
When Calls the Heart,2,$0,$0,2013,2015,2
Rest Stop,2,$0,$0,2006,2008,2
Tiny Times,2,$0,"$75,490,000",2013,2014,1
Best F(r)iends,2,$0,"$6,007",2018,2018,
Fred Figglehorn,2,$0,$0,2011,2012,1
exhibition on screen,2,$0,"$264,713",2018,2020,2
Spanish Affair,2,$0,"$117,302,855",2014,2015,1
A Bread Factory,2,$0,$0,2018,2018,
Rise of the Footsoldier,2,$0,"$8,145",2008,2015,7
Wilden Kerle,2,$0,"$29,700,000",2007,2008,1
Paw Patrol,2,$0,$0,2015,2021,6
John Clark,2,$0,$0,2020,2020,
The Pact,2,$0,"$6,031,199",2012,2014,2
13 Cameras,2,$0,$0,2016,2018,2
When Love Happens,2,$0,"$7,573",2015,2016,1
The Hamiltons,2,$0,$0,2006,2012,6
Top Cat,2,$0,"$11,360,838",2011,2015,4
Marfa Girl,2,$0,$0,2015,2018,3
Antboy,2,$0,"$3,286",2014,2015,1
What Would Jesus Do?,2,$0,$0,2010,2015,5
Gekijo ban Naruto,2,$0,"$7,947,209",2008,2017,9
Maniac Cop,2,$0,$0,1990,1993,3
Snezhnaya koroleva,2,$0,"$30,196,553",2012,2014,2
Ryanverse,2,$0,$0,2020,2020,
Kidulthood,2,$0,"$6,774,155",2006,2008,2
Gangster Ka,2,$0,"$1,588,476",2015,2015,
Teen Beach Movie,2,$0,$0,2013,2015,2
Vacanze,2,$0,"$8,447,319",2011,2015,4
Torrente,2,$0,"$39,659,408",2012,2014,2
Mortadelo y Filemon,2,$0,"$10,892,849",2008,2014,6
Arn,2,$0,"$28,403,029",2007,2008,1
MSG The Messenger of God,2,$0,"$27,053",2015,2015,
Kiseijuu,2,$0,"$21,992,770",2015,2015,
The Woman,2,$0,$0,2011,2019,8
The Dead,2,$0,$0,2012,2014,2
Uncle Kent,2,$0,$0,2010,2016,6
Fireangels,2,$0,$0,2017,2022,5
Pumping Iron,2,$0,$0,1977,1985,8
Detective Conan,2,$0,"$41,032,728",2007,2008,1
Celtic Woman,2,$0,$0,2005,2007,2
Tales From Sanctuary City,1,$0,$0,2020,2020,
Greenstreet Hooligans,1,$0,$0,2015,2015,
Blind Dead,1,$0,$0,1977,1977,
Ironclad,1,$0,"$5,297,411",2011,2011,
The Christmas Chronicles,1,$0,$0,2020,2020,
Daan gyun naam Yu,1,$0,$0,2014,2014,
Dino Dana,1,$0,$0,2019,2019,
Qian bu gou yong,1,$0,"$1,870,552",2008,2008,
Twitches,1,$0,$0,2006,2006,
10 Minute Solution,1,$0,$0,2006,2006,
Yolki,1,$0,"$11,499,494",2018,2018,
Les Bronz?s,1,$0,"$83,833,602",2006,2006,
Weiner Dog,1,$0,$0,2013,2013,
Howling,1,$0,$0,1985,1985,
Brightheart,1,$0,$0,2020,2020,
Freeway,1,$0,$0,1998,1998,
Tanguy,1,$0,"$8,033,866",2019,2019,
Kocan Kadar Konus,1,$0,"$6,174,554",2016,2016,
Les randonneurs,1,$0,"$1,823,846",2008,2008,
The Librarian,1,$0,$0,2009,2009,
Maruko,1,$0,"$3,844,017",2016,2016,
Against the Wild,1,$0,$0,2014,2014,
A Few Best Men,1,$0,"$17,224,539",2012,2012,
Train to Busan,1,$0,$0,2020,2020,
Attack of the Killer Tomatoes,1,$0,$0,1978,1978,
Yokai Watch,1,$0,"$53,396,284",2015,2015,
The Devil’s Rejects,1,$0,"$116,296",2019,2019,
The Munsters,1,$0,$0,1966,1966,
Le c?ur des hommes,1,$0,"$12,130,156",2007,2007,
Kitaro,1,$0,"$18,836,036",2008,2008,
After Porn Ends,1,$0,$0,2017,2017,
Iron Sky,1,$0,$0,2018,2018,
Jillian Michaels Fitness,1,$0,$0,2015,2015,
Bulletproof,1,$0,$0,2020,2020,
Troublesome Night,1,$0,"$7,052,423",2017,2017,
Meitantei Conan,1,$0,"$866,604",2017,2017,
Dragons Nest,1,$0,"$3,858,035",2016,2016,
Ironiya Sudby,1,$0,"$54,700,664",2007,2007,
Biggest Loser,1,$0,$0,2006,2006,
7 Zwerge,1,$0,"$29,900,000",2006,2006,
Lighting Dindin,1,$0,"$1,457,100",2017,2017,
Pripara,1,$0,"$1,668,644",2016,2016,
The Invoking,1,$0,$0,2014,2014,
Tom and Jerry,1,$0,$0,2015,2015,
Chicken Run,1,$0,$0,2020,2020,
Digimon,1,$0,"$2,318,407",2020,2020,
The Locator,1,$0,$0,2009,2009,
Frankenstein,1,$0,$0,1935,1935,
King of Prism,1,$0,"$8,708,882",2016,2016,
Mirror Mirror,1,$0,$0,2000,2000,
"Signed, Sealed, Delivered",1,$0,$0,2019,2019,
Winx Club,1,$0,"$18,523,991",2012,2012,
Lupin III,1,$0,"$6,735,360",2019,2019,
Vaxxed,1,$0,$0,2020,2020,
Jay and Silent Bob,1,$0,$0,2014,2014,
Lalaloopsy,1,$0,$0,2012,2012,
Carl Bessai's Relatives,1,$0,$0,2011,2011,
Action Six Pack,1,$0,"$2,178",2016,2016,
The Walking Dead,1,$0,$0,2019,2019,
azem,1,$0,"$247,988",2016,2016,
Bhoot,1,$0,"$2,294,815",2020,2020,
American Psycho,1,$0,$0,2004,2004,
Pyaar Ka Punchnama,1,$0,"$2,426,641",2011,2011,
Coconut the Little Dragon,1,$0,"$1,830,285",2018,2018,
Wild Geese,1,$0,$0,1985,1985,
Get Smart,1,$0,$0,2008,2008,
Boy s tenyu,1,$0,"$12,426,015",2007,2007,
