distributor,number_of_movies,budget,total_revenue,best_seller
Rat Entertainment, 1, $0," $3,075,052", Paid in Full
Artistic License, 26," $2,000,000"," $3,052,295", Wandafuru raifu
WinStar Cinema, 4," $5,955,000"," $3,051,759", The Source
Mitropoulos Films, 8, $0," $3,046,984", Elsa & Fred
Concorde, 4, $0," $3,036,636", Brain Dead
Aloha Releasing, 5, $0," $3,033,137", G
Raja Cinema, 1, $0," $2,997,278", Mission Istaanbul
Aron Govil Productions, 1, $0," $2,992,880", Shoot on Sight
Railroad Square, 2, $0," $2,968,790", Vers le sud
Cinelou Releasing, 2," $8,000,000"," $2,941,179", Cake
Studio Three Film Corporation, 2, $0," $2,931,421", Popcorn
Truly Indie, 26," $178,500"," $2,922,555", Valentino: The Last Emperor
Taurus, 7," $9,000,000"," $2,894,868", Class of 1999
Zipporah, 8, $0," $2,883,102", National Gallery
Paragon Pictures, 4, $0," $2,847,907", Night of the Demons
Hammond Entertainment, 5," $9,000,000"," $2,843,790", Greater
Cardinal Film Releasing, 1, $0," $2,732,684", Hot Moves
Amazon Studios/Roadside Att…, 1, $0," $2,719,698", Chi-raq
FM Entertainment International, 2, $0," $2,699,154", The Kindred
KKM Enterprises, 1, $0," $2,645,991", El gran milagro
Luke Films, 1, $0," $2,627,016", Therese
Peace Arch Releasing, 7, $0," $2,562,197", JCVD
Innovation Film Group, 9, $0," $2,549,524", The Legend of Johnny Lingo
Matson, 8," $2,000,000"," $2,545,432", It's All Gone Pete Tong
Grasshopper Film, 37, $0," $2,545,388", Lu bian ye can
Arrow Releasing, 9, $0," $2,541,414", Ponette
European International, 2, $0," $2,522,881", Le retour de Martin Guerre
"Cinema Tropical, FIGA Films", 2, $0," $2,518,193", Pelo malo
IDP/Samuel Goldwyn Films, 3, $0," $2,516,228", That Sugar Film
Video Sound, 4," $1,000,000"," $2,502,199", Fiza
Myriad Entertainment Group, 4, $0," $2,456,852", La Danseuse
Exclusive Releasing, 2," $10,000,000"," $2,453,387", Parkland
Avatar, 10," $100,000"," $2,366,649", Kandahar
Power Point Films, 1," $50,000"," $2,335,352", Gabriela
Cinestaan, 2, $0," $2,328,380", Bhoot: Part One — The Haunted Ship
BET Pictures, 1, $0," $2,291,255", Once Upon a Time... When We Were Colored
Purple Rose Films, 1, $0," $2,276,406", Escanaba in Da Moonlight
Lionsgate/After Dark, 2, $0," $2,274,489", The Abandoned
Area 23a, 13, $0," $2,272,105", Fantastic Fungi
Sycamore Entertainment Grou…, 1, $0," $2,226,888", The Eye of the Storm
Shapiro, 2, $0," $2,218,579", Def by Temptation
ABS-CBN, 14, $0," $2,152,068", The Hows of Us
RAM Releasing, 2, $0," $2,125,101", App
Counterpoint Films & Self-R…, 1, $0," $2,083,186", Awake: The Life of Yogananda
Lightyear Entertainment, 7, $0," $2,068,452", Maze
Ammo Content, 11, $0," $2,067,308", Leo da Vinci: Missione Monna Lisa
Applied Art Productions, 2, $0," $2,042,836", Delhi Safari
Maya Releasing, 12," $2,500,000"," $2,031,071", Talento de Barrio
Emerging Pictures, 32, $0," $2,025,921", Honeydripper
Vineyard Distribution, 1," $6,500,000"," $2,025,032", The Work and the Glory: American Zion
Kit Parker Films, 2, $0," $2,022,827", Nueba Yol
Doppelganger Releasing, 8," $2,600,000"," $2,017,934", Arme Riddere
Barking Cow Distribution, 1," $15,000,000"," $2,013,340", San suk si gin
Echolight Studios, 2," $7,000,000"," $2,004,423", The Christmas Candle
Smodshow Productions, 1," $4,000,000"," $1,983,596", Red State
Cinepix Film Properties, 9, $0," $1,957,978", Il Mostro
Amplify, 10, $0," $1,914,854", The Zero Theorem
Epic Pictures Group, 27," $60,000"," $1,895,276", The Lodgers
Quaker Media, 1," $7,000,000"," $1,891,936", The Mighty Macs
Society Films, 1, $0," $1,888,453", Maria Sklodowska Curie
Branded Entertainment, 1, $0," $1,832,541", Crooked Arrows
Riverrain, 4, $0," $1,831,421", Slamma Jamma
Palisades, 6, $0," $1,823,223", Deadtime Stories
Really Big Film Corp., 1, $0," $1,808,679", N'sync: Bigger than Live
TVA Films, 2, $0," $1,783,275"," D?d?, ? travers les brumes"
Bleecker Street & Amazon St…, 1, $0," $1,766,703", Elvis & Nixon
Wolfe Releasing, 18," $400,000"," $1,753,866", Parched
"Libero, LLC", 1, $0," $1,706,325", Sweet Land
First Independent Pictures, 12," $10,000,000"," $1,693,891", Holy Rollers
Acorn TV, 1, $0," $1,681,278", Miss Fisher & The Crypt Of Tears
Regatta, 1, $0," $1,660,230", Destination Wedding
Halestone, 3," $500,000"," $1,656,076", The R.M.
Holedigger Studios, 2, $0," $1,652,665", Off the Map
MUBI, 7, $0," $1,649,138", Ryuichi Sakamoto: Coda
Castle Hill Productions, 26," $1,000,000"," $1,592,437", Left Luggage
Ficus, 1, $0," $1,582,476", Seethamma Vakitlo Sirimalle Chettu
"One Media, LLC", 1, $0," $1,557,494", Persecuted
Monument Releasing, 13, $0," $1,526,113", Charlie’s Country
Gener8xion Entertainment, 3, $0," $1,513,947", The Cross: The Arthur Blessitt Story
Submarine Deluxe, 15," $2,000,000"," $1,496,636", Peggy Guggenheim: Art Addict
Nocturnal Features, 16, $0," $1,491,299", The Afflicted
Independent Indian, 4, $0," $1,469,794", Rustom
Pinnacle Peak, 1, $0," $1,462,977", Little Women
Rooster Teeth, 1, $0," $1,405,548", Lazer Team
Hola Mexico, 1, $0," $1,380,353", Me Estas Matando Susana
Moviestore Entertainment, 1," $1,100,000"," $1,355,728", The Offspring
Hyde Park Films, 1," $8,300,000"," $1,353,296", The City of Your Final Destination
Fabrication Films, 3," $475,000"," $1,322,563", Conversations with Other Women
Prime Media Pictures, 1, $0," $1,322,050", Mercury
Argot Pictures, 27, $0," $1,310,915", El Silencio de Otros
Ram Entertainment, 1, $0," $1,276,994", The Celestine Prophecy
Future Educational Films, 1, $0," $1,250,962", Walking the Camino: Six Ways to Santiago
Keystone Entertainment, 1, $0," $1,248,746", MVP: Most Valuable Primate
CanZion Films, 4, $0," $1,248,508", Poema de Salvaci?n
Pure Flix / Samuel Goldwyn …, 2, $0," $1,231,211", Faith of Our Fathers
Cho Taussig Prods., 1, $0," $1,210,967", I'm the One That I Want
RCR Media Group, 1," $18,000,000"," $1,199,510", Phantom
Selznick Releasing Organiza…, 2, $0," $1,196,979", The Third Man
Rainforest Productions, 1," $200,000"," $1,161,843", Trois
Balcony Releasing, 19, $0," $1,160,960", Enlighten Up!
Aura Entertainment, 1, $0," $1,146,474", December Boys
Limelight International, 1, $0," $1,113,538", Possession
Superlative Films, 1," $700,000"," $1,110,511", Columbus
"Callbox, LLC", 1," $225,000"," $1,109,276", Burn
Panorama Entertainment, 6, $0," $1,103,794"," The Bread, My Sweet"
DreamWorks/Go Fish, 2, $0," $1,081,181", Ghost in the Shell 2: Innocence
Access Motion Picture Group, 1," $2,000,000"," $1,075,504", Dinner Rush
Ten Furlongs, 1," $10,000,000"," $1,069,454", 50 to 1
Cinema Slate, 4, $0," $1,067,245", La Patota
Black Diamond Pictures, 1," $10,100,000"," $1,066,555", September Dawn
Kenn Viselman Presents, 1," $20,000,000"," $1,065,907", The Oogieloves in the BIG Balloon Adv…
Tips Exports, 1, $0," $1,061,545", Yaadein
Main Street, 10, $0," $1,054,664", Great Expectations
New Films Cinema, 6," $3,000,000"," $1,053,053", Chain Letter
Media Partners, 1, $0," $1,041,228", Kaante
Seventh Art Releasing, 32, $0," $1,034,604", American Pimp
Alive Mind, 12, $0," $1,034,475", El Bulli: Cooking in Progress
Aspiration Media, 2, $0," $985,592", Noble
Brainstorm Media, 19, $0," $982,763", Dark Horse
Docurama, 4, $0," $977,907", Generation Iron
The Ciesla Foundation, 2, $0," $953,449", The Spy Behind Home Plate
Lantern Lane Entertainment, 5, $0," $948,537", Outsourced
Gaatri Media, 1, $0," $934,922", Gentleman
Elephant Eye Films, 5, $0," $912,980", La Nana
ContentFilm, 2," $5,000,000"," $894,030", Party Monster
Hombre de Oro, 1," $3,500,000"," $886,410", La otra conquista
1091 Media, 11, $0," $875,184", Meeting Gorbachev
After Dark, 12," $2,000,000"," $873,762", Echelon Conspiracy
Candlelight Media, 1, $0," $872,427", Emma Smith: My Story
518 Media, 2, $0," $856,457", Inland Empire
White Hill Production, 2, $0," $847,156", Punjab 1984
CFI, 3, $0," $845,100", Miekkailija
Starz Media, 10," $800,000"," $841,087", The Family Fang
Set Pictures, 1, $0," $835,767", Lagaan
Big World Pictures, 16, $0," $830,359", Conte d’?t?
Arts Alliance America, 5, $0," $814,084", Pearl Jam Twenty
Page 124 Productions, 1, $0," $809,590", Bill W.
Cartilage Films, 3, $0," $808,810", Madame Hyde
Arthouse Films, 10, $0," $807,850", Jean-Michel Basquiat: The Radiant Child
Veracity Moving Pictures, 1, $0," $781,133", Unconditional
Leisure Time Features, 8, $0," $767,876", Faust
Senart/Scranton-Lacy, 2, $0," $742,583", Bonneville
CAVU Releasing, 11, $0," $732,946", The Holy Land
Archstone Entertainment, 14, $0," $728,205", The Black Prince
ESX Entertainment, 3," $2,000,000"," $725,042", Bennett’s War
Crane Movie Company, 1, $0," $719,556", Forever Strong
Cinetel, 4," $3,800,000"," $705,313", Out of the Dark
Grand Showbiz Media, 4, $0," $701,247", Sarvann
Unico Entertainment, 5, $0," $694,650", Imelda
Palm/Manga, 4, $0," $693,126", Dig
Outsider, 12, $0," $692,123", El ?ltimo Traje
P&A Releasing, 1, $0," $692,000", National Lampoon's Gold Diggers
Bond/360, 12, $0," $690,356", Alive Inside
BBC Worldwide North America, 5," $600,000"," $680,934", London Road
Starz Digital Media, 6, $0," $671,530", Boulevard
Cyan, 4," $5,000,000"," $654,712", The Oh in Ohio
Imaginasian, 3," $1,300,000"," $635,554", Journey from the Fall
Cinema Purgatorio, 8," $450,000"," $632,466", Bj?rk: Biophilia Live
ITN, 7, $0," $606,238", Showdown in Manila
Long Shot Factory, 7, $0," $597,522", Somewhere Between
Caledonia Pictures, 1, $0," $595,000", Where the Rivers Flow North
Eammon Films, 6, $0," $588,431", Una
erbp Film, 1, $0," $584,881", Upstream Color
Tugg, 7, $0," $575,258", Range 15
Picture This Entertainment, 13, $0," $567,670", Garcon Stupide
Gold Circle Films, 2," $4,000,000"," $564,997", Poolhall Junkies
Filmopolis Pictures, 1, $0," $555,900", Ma saison pr?f?lr?e
Logo Features, 1, $0," $532,878", Noah's Arc: Jumping the Broom
American Zoetrope, 1, $0," $518,522", Tetro
AMBI, 9, $0," $513,086", This Beautiful Fantastic
Super LTD, 4, $0," $509,221", Sanpo Suru Shinryakusha
Five Sisters Productions, 1, $0," $505,675", Manna From Heaven
The Film Desk, 15, $0," $502,335"," Je t'aime, je t'aime"
Abkco Films, 3, $0," $489,637", Poesia Sin Fin
Vega Baby, 2, $0," $483,842", Ghoul
BritBox, 1, $0," $483,685", 63 Up
P12 Films, 1, $0," $481,924", The Great Alaskan Race
Autonomous Films, 1," $1,000,000"," $473,769", Wristcutters: A Love Story
American Experience/PBS Films, 1, $0," $466,114", Last Days in Vietnam
Parade Deck Films, 18, $0," $449,630", Hannah
First Independent/Dada Films, 3, $0," $446,558"," Broadway: The Golden Age, by the Lege…"
Hammer the Movie, 1," $850,000"," $442,638", The Hammer
Mela Films, 1," $200,000"," $439,651", Short Cut to Nirvana: Kumbh Mela
Cinedigm/Film Arcade, 1," $6,000,000"," $437,089", Song One
Films Around the World, 2, $0," $434,600", ? bout de souffle
Paladin/108 Media, 3, $0," $427,200", The We and the I
Net Effect, 2, $0," $424,536", Yuva
Corinth Films, 8, $0," $420,849", The Carer
Direct Cinema Ltd, 2, $0," $415,130", In Search of Mozart
Full Circle Releasing, 1, $0," $408,229", Transylmania
Westchester Films, 1, $0," $402,088", The Little Traitor
Collective Eye, 2, $0," $395,791", Queen of the Sun
Loki Films, 1, $0," $390,170", Detropia
K Street Pictures, 1, $0," $384,885", Alex & Eve
Peace Film LLC, 1," $1,500,000"," $372,239", MOOZ-lum
Typecast Releasing, 5, $0," $368,349", Iraq in Fragments
Walking Shadows, 4, $0," $367,569", Milarepa
Rising Star Entertainment, 6, $0," $365,947", Khido Khundi
Almi, 7, $0," $364,003", The Bostonians
Bauer Martinez, 4, $0," $358,670", Modigliani
The Animation Show/IPMA, 1, $0," $352,964", The Animation Show
Painted Zebra Releasing, 1," $200,000"," $346,106", Malevolence
"AwesomenessTV, Conjunction …", 1, $0," $344,500", Mindless Behavior: All Around The World
Altered Innocence, 4, $0," $341,266", Un couteau dans le coeur
GasLand Productions, 1, $0," $339,505", GasLand
Variance/40 Acres & a Mule …, 1, $0," $338,803", Red Hook Summer
The Bubble Factory, 1," $3,000,000"," $331,000", Creature
Magic Lamp, 6, $0," $329,154", American Chai
ABCKO Films, 1, $0," $323,391", La danza de la realidad
"Fame, Inc.", 1, $0," $316,527", The Aryan Couple
RiverRain / Ripple Effect, 1, $0," $316,117", David and Goliath
Senator Entertainment, 1," $18,000,000"," $315,000", The Informers
Persona Films, 1," $4,200,000"," $313,230", Cargo
Anywhere Road Entertainment, 4," $950,000"," $310,940", Ant?nia - O Filme
Proud Mother Pictures, 1, $0," $300,968", I Am Eleven
Slugger Films, 1, $0," $293,793", Mickey
JSC Entertainment, 1, $0," $292,824", Innocence
Somerset Films, 1, $0," $290,379", Passage to Zarahemla
Jerry Gross Organization, 2," $100,000"," $287,000", Penitentiary
Manifold Productions, 1, $0," $282,149", Created Equal: Clarence Thomas in His…
Film Sales Company, 3," $800,000"," $272,816", Cama adentro
Entertainment Squad, 1, $0," $271,478", The Dare
Silver Nitrate, 2, $0," $271,078", Dirty
Kino/Emerging, 1, $0," $268,431", Harvard Beats Yale 29-29
Films Seville, 2, $0," $264,552"," Mafia, Inc."
Asymmetrical, 1, $0," $261,865", Mimimalism: A Documentary About the I…
The Vladar Company, 5, $0," $261,477", Jeremy Scott: The People’s Designer
Anchor Bay/Freestyle, 4, $0," $261,263", I Spit on Your Grave 3
Salient Media, 3, $0," $253,257", Atrocious
Shakey Pictures, 1, $0," $251,862", Greendale
Lovett, 1, $0," $249,565", Gay Sex in the 70's
7-57 Releasing, 2, $0," $246,442", La Soga
PlayNow Enterprise, 1, $0," $240,214", Carter High
AIM Distribution, 4, $0," $237,925", Kaaki Sattai
Fader Films, 1," $250,000"," $237,816", On the Outs
AFFRM, 1," $200,000"," $236,806", Middle of Nowhere
DisruptiveLA, 1, $0," $234,990", James Cameron’s Deepsea Challenge 3D
Slater Brothers Entertainment, 1, $0," $234,830", My Uncle Rafael
The Film Collaborative, 12," $500,000"," $231,196", Contracorriente
Warrior Poets, 1, $0," $229,270", What Would Jesus Buy?
RBC Radio, 1," $1,000,000"," $227,241", Guiana 1838
Arrival Pictures, 1, $0," $225,863", The Keeper: The Legend of Omar Khayyam
Paulist Pictures, 1, $0," $225,161", Entertaining Angels: The Dorothy Day …
Cranked Up Films, 2, $0," $223,713", Extra Ordinary
ArtMattan Productions, 24, $0," $221,298", Kirikou and the Sorceress
YouTube, 2, $0," $217,542", Museo
Fair Trade Pictures, 1," $200,000"," $212,989", Call+Response
Moriah Films, 2, $0," $212,601", Winston Churchill: Walking with Destiny
Santa Rita Film Co, 1, $0," $204,881", The Iron Orchard
O’Malley Creadon Productions, 1, $0," $204,709", Hesburgh
Elysian Films, 1, $0," $203,305", Skin
Goodbye Cruel Releasing, 2," $30,000"," $186,207", Mutual Appreciation
Spelling Films, 1, $0," $185,170", Rumpelstiltskin
FilmBuff, 34," $1,750,000"," $181,452", Road Hard
DEJ Productions, 1," $1,100"," $181,041", My Date With Drew
Tulip Pictures, 1, $0," $179,596", Silencio
Noujaim Films, 1," $1,500,000"," $176,262", The Square
Lange, 2, $0," $175,000", Uncle Nino
Praneeth Media, 3, $0," $174,695", Iru Mugan
Blue Water Entertainment, 1," $2,500,000"," $174,255", Fuel
Variance Films/Everest Films, 1, $0," $173,828", Passport to Love
Reel Diva Consultants, 4, $0," $171,822", Cover
Synergetic, 3, $0," $170,325", Sameblod
Priority Films, 1," $3,000,000"," $163,069", Holly
California Newsreel, 4, $0," $161,726", Black Gold
Olive Films, 17," $13,000,000"," $156,580", Die Fremde
Ariztical Entertainment, 1, $0," $155,212", Eating Out
Continental Distributing, 4, $0," $152,134", Voyna i mir
ISA Releasing, 2, $0," $151,815", Tie-died: Rock 'n Roll's Most Deadica…
Small Planet, 2, $0," $151,138", Charlotte Sometimes
Motion Film Group, 1, $0," $148,994", Gun Hill Road
Synkronized, 3, $0," $147,941", Saving Flora
Cosmic Pictures/Arcane Pict…, 1, $0," $146,937", Superpower Dogs
Kindred Media Group, 3, $0," $146,860", Game 6
Rada Film Group, 1, $0," $146,702", American Promise
Interfilm, 1, $0," $144,961", Mr. Payback: An Interactive Movie
Balaji Telefilms, 2, $0," $144,414", Super Singh
SenArt Films, 1, $0," $143,178", Kids for Cash
Geneon Entertainment, 1, $0," $141,928", Appurush?do
First Run/Icarus, 20," $200,000"," $140,774", Excellent Cadavers
Meadowbrook, 1, $0," $138,267", Brooklyn Lobster
NME, 1, $0," $137,260", Beneath Us
Cinema V, 4," $300,000"," $134,961", Accident
Participant Media, 8, $0," $132,541", The Internet’s Own Boy: The Story o…
Cinema Tropical, 7, $0," $132,509", Alanis
Lightsource, 1, $0," $131,672", Proud American
Pak Films, 1, $0," $131,451", Robot Stories
Wildcat Releasing, 5, $0," $129,994", Tortilla Heaven
IRS Releasing, 4, $0," $129,777", Roosters
Paul Entertainment, 1, $0," $129,508", Never too Young to Die
CODEBLACK Films/Lionsgate, 1, $0," $129,102", Free Angela & All Political Prisoners
Mac Releasing, 1, $0," $129,042", No Good Deed
Academy Entertainment, 2, $0," $125,677", Paris is Burning
Embrem Entertainment, 4, $0," $125,648", A Four Letter Word
SnagFilms, 5, $0," $125,526", Beware of Mr. Baker
SPEAKproductions, 1, $0," $125,380", Were the World Mine
Syfy Films, 2, $0," $124,852", Proyecto Lazaro
Noruz Films, 1, $0," $123,731", Chop Shop
Gigantic Pictures, 4, $0," $123,301", Flannel Pajamas
Newroz Films, 1, $0," $120,750", David & Layla
Illuminare, 5," $300,000"," $118,517", First Morning
4th Row Films, 3, $0," $117,470", Bisbee ‘17
Shoreline Entertainment, 1, $0," $116,390", 7 cajas
Insurgent Media, 1, $0," $116,037", Blank City
Bev Pictures, 2, $0," $113,849", Living in Emergency
BerKela Films, 1, $0," $113,730", Bra Boys
GR Films, 1, $0," $112,313", Killing Kasztner
International Film Marketing, 2, $0," $110,995", Lune de miel
Non Fiction Films, 1, $0," $110,577", In the Face of Evil
Saboteur Media, 2, $0," $108,726", Korengal
Landmark Theaters, 2, $0," $108,071", Steve Jobs: The Lost Interview
Arclight Films, 2, $0," $107,588", Contracted
Four of a Kind Productions, 1, $0," $106,524", The Romantics
ARY Films, 1, $0," $105,401", Jawani Phir Nahi Ani
Life Sentence Films/m Tuckm…, 2, $0," $104,521", Crime after Crime
Laemmle/Zeller Film, 5, $0," $103,176", Down to the Bone
IndieVest Pictures, 1," $2,000,000"," $102,645", Saint John of Las Vegas
Motion Pictures Film and Te…, 1, $0," $102,541", Henry's Crime
Ignite Channel, 1, $0," $100,575", Twinsters
Great Point Media, 7, $0," $99,702", Where is Kyra?
Vaca Films, 1, $0," $98,046", Secuestrados
Green Griffin, 1, $0," $97,446", Welcome to 18
Newstyle Releasing, 2, $0," $96,314", Greetings from the Shore
Gabriel's Messenger Films, 1, $0," $93,690", The Investigator
"Darin Southam Endeavor, Inc.", 1, $0," $93,224", Reign of Judges: Title of Liberty
Truth Aid/Amplify, 1, $0," $91,841", Difret
Unstuck LLC, 1, $0," $91,302", Christmas Eve
Full Moon Features, 1, $0," $91,260", Evil Bong 3 The Wrath Of Bong!
Mangusta Productions, 3," $500,000"," $90,461", 2012: Time for Change
Dark Sky Films, 21, $0," $89,171", Possum
Spark Entertainment, 2, $0," $89,169", Blindsight
Monica Beach Media, 1, $0," $88,500", Forks Over Knives
Le Petit Canyon Productions, 1, $0," $88,327", Jewtopia
S2BN, 1, $0," $87,674", Sing Your Song
Citadel, 1, $0," $86,858", ECCO
Telepathic Studios, 1," $9,000,000"," $85,527", Leaves of Grass
Lopert Pictures Corporation, 6," $747,000"," $84,407", La mari?e ?tait en noir
Franklin Media, 1, $0," $82,126", Cristo si ? fermato a Eboli
Norador Productions, 1, $0," $81,883", My Mother Likes Women
Onyx Films, 1, $0," $79,627", Harvest of Empire
Liberty Street Films, 1, $0," $77,619", Money for Nothing: Inside the Federal…
Supergravity Pictures, 1, $0," $75,838", Gayby Baby
Maxmedia/Endgame, 1, $0," $73,653", Sky Blue
Watch Releasing, 1, $0," $73,595", Conspiracy of Silence
Reel Source, 2, $0," $73,321", Kalamazoo?
Avalanche Releasing, 5, $0," $73,309", The Body
IronFlix, 1, $0," $73,115", The Wedding Party 2: Destination Dubai
Vanish Films, 1, $0," $72,791", Do Not Resist
Shella Films, 1, $0," $72,518", Unrest
Thunderstruck Films, 1, $0," $72,451"," Lord, Save Us From Your Followers"
Round Hill Media, 1, $0," $71,609", Cliffs of Freedom
Pallisades Tartan, 3, $0," $69,608", Stellet licht
ADV Films, 1, $0," $69,386", The Princess Blade
Stone Five Studios, 1," $250,000"," $67,665", Happy Valley
Illumine Films, 1, $0," $66,783", 3100: Run and Become
MyCinema, 5, $0," $65,424", Zeroville
Attitude Films, 3," $2,650,000"," $65,158", Une affaire de go?t
Kria, 3, $0," $64,084", Apaharan
Sky Island, 4," $200,000"," $63,610", Side Effects
Pathfinder, 6, $0," $63,440", Gozu
Lurker Films, 1, $0," $62,900"," Love, Antosha"
Alliance Vivafilm, 1, $0," $61,337", Une vie qui commence
Pasidg Productions, 2, $0," $60,513", Hate Crime
Vanishing Angle Films, 1, $0," $60,438", Too Late
InterPositive Media, 1, $0," $60,332", Boogie Man: The Lee Atwater Story
Quiver, 5, $0," $59,731", Running with the Devil
Sidetrack Films, 1, $0," $56,386", Beautiful Losers
Barn Owl, 1, $0," $56,220", Saving Brinton
Eden Rock/Abramorama, 1," $1,400,000"," $56,073", Incident at Loch Ness
Fisher-Klingenstein Films, 2, $0," $55,722", OC87
Gorilla Factory, 1, $0," $55,398", That Man: Peter Berlin
Tyscot Manhaddon, 1, $0," $54,008", A Beautiful Soul
Tilapia Film, 1, $0," $53,471", Plagues and Pleasures on the Salton Sea
Kristin Marie Productions, 1, $0," $53,256", Farmageddon
In The Light Productions LLC, 1, $0," $53,134", Love Thy Nature
Present Pictures/Morning Kn…, 1," $200,000"," $52,443", Good Dick
Utopia, 1, $0," $51,891", American Dharma
Better World Distribution, 1, $0," $51,576", Blue Gap Boy'z
Trinity Film, 2, $0," $51,163", Plot for Peace
Audience Alliance, 1, $0," $50,076", Broken Hill
Dark Star Pictures, 15, $0," $49,700", La Higuera de los bastardos
Spacey, 1, $0," $49,591", NOW: In the Wings on a World Stage
Economic Projections, 1, $0," $49,048", Assisted Living
SeeThink, 2, $0," $48,969", Alice Neel
Spit and Glue, 1, $0," $48,873", Martin and Orloff
Richmond Media Entertainment, 2, $0," $48,725", 3 Weeks in Yerevan
Thread Cross Films, 1, $0," $47,243", Tibet: A Buddhist Trilogy
Wave Releasing, 1, $0," $47,071", Owl and the Sparrow
Faulkner-McLean Entertainment, 1, $0," $47,009", Alabama Moon
Lifesize Entertainment, 7," $120,000"," $45,847", American Cannibal
Lambert Releasing, 1, $0," $45,000", Greedy Lying Bastards
IFG, 2, $0," $44,938", Grand Champion
Rockstone Releasing, 2, $0," $44,931", Holla II
Waldo West Productions, 1, $0," $43,905", All Roads Lead Home
in8 Releasing, 2, $0," $43,500", 10E
North/South Pictures, 1," $600,000"," $42,557", Water & Power
B.D. Fox Independent, 1," $3,800,000"," $41,914", Down for Life
APD/Cinema Conservancy, 2, $0," $41,782", Stations of the Elevated
Five Points Media, 1, $0," $41,714", Commune
Skylight Pictures, 1, $0," $40,726", Granito: How to Nail a Dictator
Shotown Pictures, 1, $0," $40,508", CornerStore
Reliance/LoveStreaks, 1, $0," $40,289", Controlled Chaos
Jujitsu Films, 1, $0," $39,895", Justice
Bramacharia LLC, 1, $0," $39,457", Boy Meets Girl
Showtime Original, 2, $0," $39,347", Prophet’s Prey
Women Make Movies, 2," $300,000"," $39,277", Sisters in Law
New Love Films, 1, $0," $39,081", Yiddish Theater: A Love Story
Revolver Entertainment, 3," $1,000,000"," $38,933", Special
Phase 4 Films Sameul Goldwy…, 2, $0," $38,856", The Short Game
The World According to Shorts, 1, $0," $38,382", Nine Nation Animation
108 Pics, 1, $0," $38,261", When Harry Tries to Marry
